Date,Open,High,Low,Close,Adj Close,Volume
2022-02-16,43.549999,43.799999,43.410000,43.799999,43.799999,6885621
2022-02-17,43.599998,43.950001,43.299999,43.320000,43.320000,5785945
2022-02-18,43.180000,43.750000,43.040001,43.459999,43.459999,5015523
2022-02-21,43.580002,44.599998,43.520000,44.320000,44.320000,9559097
2022-02-22,43.900002,44.180000,43.060001,43.330002,43.330002,9788600
2022-02-23,43.389999,44.099998,43.240002,43.900002,43.900002,7154979
2022-02-24,43.599998,43.770000,41.830002,42.419998,42.419998,13396480
2022-02-25,42.700001,42.950001,42.270000,42.369999,42.369999,7021332
2022-02-28,42.330002,42.500000,41.730000,42.340000,42.340000,6666925
2022-03-01,42.459999,42.840000,42.299999,42.759998,42.759998,7256416
2022-03-02,42.369999,42.730000,42.299999,42.590000,42.590000,5646915
2022-03-03,42.799999,42.889999,42.230000,42.320000,42.320000,5354991
2022-03-04,42.000000,42.400002,41.680000,42.279999,42.279999,6889898
2022-03-07,42.139999,42.139999,39.270000,39.450001,39.450001,18832780
2022-03-08,39.380001,39.830002,38.709999,38.759998,38.759998,11464086
2022-03-09,39.000000,39.180000,36.009998,37.849998,37.849998,13320722
2022-03-10,38.500000,38.689999,37.500000,37.570000,37.570000,10194496
2022-03-11,36.980000,41.330002,36.759998,40.959999,40.959999,30425489
2022-03-14,39.720001,41.270000,39.580002,40.540001,40.540001,20684422
2022-03-15,39.950001,42.279999,39.799999,41.110001,41.110001,34775427
2022-03-16,41.200001,45.000000,40.500000,44.040001,44.040001,37184366
2022-03-17,44.369999,44.369999,42.230000,42.709999,42.709999,29394342
2022-03-18,42.299999,43.270000,42.160000,42.799999,42.799999,15570281
2022-03-21,42.330002,42.500000,41.720001,42.180000,42.180000,12629276
2022-03-22,42.169998,42.549999,41.680000,41.779999,41.779999,10593083
2022-03-23,41.700001,42.130001,41.619999,41.720001,41.720001,8668403
2022-03-24,41.509998,41.669998,40.910000,41.110001,41.110001,8966763
2022-03-25,41.009998,41.299999,40.080002,40.110001,40.110001,9734110
2022-03-28,39.689999,41.669998,39.509998,40.930000,40.930000,13700721
2022-03-29,40.959999,41.279999,40.040001,40.180000,40.180000,7756363
2022-03-30,40.529999,41.980000,40.529999,41.970001,41.970001,18399915
2022-03-31,41.570000,42.139999,41.410000,41.610001,41.610001,11721686
2022-04-01,41.400002,42.599998,41.330002,42.250000,42.250000,15347195
2022-04-06,42.000000,42.599998,41.549999,41.900002,41.900002,10823144
2022-04-07,42.000000,42.290001,40.990002,41.009998,41.009998,10048615
2022-04-08,41.049999,41.680000,40.639999,41.259998,41.259998,9278419
2022-04-11,41.119999,41.209999,39.599998,39.910000,39.910000,9872963
2022-04-12,39.740002,42.299999,39.740002,41.930000,41.930000,17571616
2022-04-13,41.520000,42.590000,41.369999,41.869999,41.869999,15762028
2022-04-14,42.299999,42.580002,41.630001,42.200001,42.200001,14474676
2022-04-15,41.810001,42.599998,41.500000,41.730000,41.730000,11657007
2022-04-18,40.560001,40.770000,39.169998,39.990002,39.990002,12974095
2022-04-19,39.900002,40.200001,39.250000,39.540001,39.540001,8188863
2022-04-20,39.540001,39.950001,38.900002,38.990002,38.990002,7251391
2022-04-21,38.680000,39.580002,38.320000,38.599998,38.599998,11221600
2022-04-22,38.549999,38.980000,38.279999,38.470001,38.470001,7861624
2022-04-25,37.369999,39.000000,37.000000,37.400002,37.400002,12071507
2022-04-26,37.799999,38.060001,35.990002,36.330002,36.330002,13412189
2022-04-27,35.880001,36.950001,35.150002,36.790001,36.790001,13174912
2022-04-28,36.439999,36.689999,35.400002,35.700001,35.700001,10273067
2022-04-29,36.759998,37.750000,36.279999,37.480000,37.480000,17003044
2022-05-05,36.450001,36.910000,36.009998,36.790001,36.790001,12174448
2022-05-06,36.119999,36.380001,35.799999,35.919998,35.919998,7887875
2022-05-09,35.799999,36.290001,35.680000,36.029999,36.029999,4558862
2022-05-10,35.720001,36.919998,35.599998,36.580002,36.580002,9123118
2022-05-11,36.580002,37.599998,36.410000,36.750000,36.750000,12775903
2022-05-12,36.299999,37.500000,36.049999,36.939999,36.939999,7698590
2022-05-13,37.009998,37.380001,36.680000,36.980000,36.980000,7283181
2022-05-16,37.450001,37.580002,36.759998,37.029999,37.029999,7200926
2022-05-17,36.900002,37.389999,36.560001,37.160000,37.160000,7204846
